,Unnamed: 0,Unnamed: 0.1,theta,x,y
0,0,255,0.0,0.0,0.0
1,1,256,0.0,0.0,0.0
2,2,257,0.0,0.2797264269993748,0.0123744106188316
3,3,258,2.3,1.9680752185313155,0.087062817568208
4,4,259,2.87,8.260861474643269,0.6156847381206048
5,5,260,1.92,18.747159954662703,1.610091188191237
6,6,261,0.77,29.66011916696339,2.4632155816190453
7,7,262,-0.57,39.89435917897462,3.046080382879555
8,8,263,-1.34,48.59938465045341,3.3510911054869594
9,9,264,-2.11,56.46010198699864,3.5086441281088705
10,10,265,-2.68,62.77410151845716,3.557735030948053
11,11,266,-2.11,69.09075270933401,3.546884556573085
12,12,267,-1.15,77.6565313754507,3.605500621778079
13,13,268,-0.38,85.51592288228676,3.793024333007066
14,14,269,-0.19,93.51031622702226,4.096627774438081
15,15,270,-0.77,100.95436306082192,4.395904796939202
16,16,271,-1.34,108.11134489750484,4.622424088370955
17,17,272,-1.72,115.41172549357856,4.775208748826587
18,18,273,-1.92,123.12435716003397,4.886171704759928
19,19,274,-2.3,130.9886100424703,4.963802891096304
20,20,275,-2.3,138.01412558714486,4.994320616040492
21,21,276,-1.53,144.749482532048,5.022012216665155
22,22,277,-2.3,153.17097855230114,5.174343371917653
23,23,278,-3.45,161.31760952115513,5.204407591658708
24,24,279,-4.02,169.04084782528383,5.075605038735442
25,25,280,-3.26,176.61688434579546,4.880231960052221
26,26,281,-2.3,184.05818650674283,4.789006144188583
27,27,282,-2.11,190.933848608382,4.81289472058697
28,28,283,-2.68,197.53800673961203,4.864811747745678
29,29,284,-3.64,204.41543661419675,4.848739406001298
30,30,285,-3.83,211.29816980761817,4.7127843098286135
31,31,286,-4.21,216.909050247352,4.590634029384642
32,32,287,-4.02,221.82017267635092,4.447537951929285
33,33,288,-4.02,227.7229794888017,4.288252877662072
34,34,289,-4.6,234.31687991216089,4.119500968562785
35,35,290,-4.41,242.03675713529967,3.840403029367753
36,36,291,-4.21,250.31697109891,3.5660734523389994
37,37,292,-4.21,258.1745018193665,3.3431138661318425
38,38,293,-4.6,266.03247448305945,3.110164050388996
39,39,294,-4.6,273.6120465494622,2.83486913542024
40,40,295,-4.21,280.61996581614846,2.58433460365589
41,41,296,-4.21,287.35549722595283,2.3818089817232515
42,42,297,-4.21,293.25874598164006,2.212533677920348
43,43,298,-4.02,299.5729199779998,2.0314073582022285
44,44,299,-3.64,306.0269571878592,1.8564682437935252
45,45,300,-3.45,312.62908006780845,1.7281191960733917
46,46,301,-3.64,318.6591082048049,1.6345207610933628
47,47,302,-2.87,324.279536930838,1.5228026534214705
48,48,303,-3.26,329.8964301109801,1.4910063820351152
49,49,304,-3.45,336.7769535882195,1.4050024335408882
50,50,305,-3.45,344.6300648763122,1.2819451426906543
51,51,306,-3.26,352.3533031804409,1.153142589767386
52,52,307,-3.83,360.35538402509616,1.0566949065343376
53,53,308,-4.21,368.7819158858507,0.8689163143369178
54,54,309,-4.02,376.4995833928076,0.6397695228203482
55,55,310,-4.41,383.51439928637495,0.4596085410422326
56,56,311,-4.41,390.81203520959633,0.2218903631331024
57,57,312,-4.41,397.8290608193456,-0.0082217663234729
58,58,313,-4.6,404.14456064541446,-0.2193187746486664
59,59,314,-4.21,410.6012495146922,-0.454199266271523
60,60,315,-4.21,417.33633898126016,-0.6467346586684677
61,61,316,-3.64,422.8086820372034,-0.8050428330289279
62,62,317,-2.87,427.86789013629226,-0.901548843795716
63,63,318,-3.26,433.47523503013497,-0.9437772879541556
64,64,319,-3.64,440.4956217208741,-1.0235940311389626
65,65,320,-2.87,448.0798806979759,-1.1785642484430312
66,66,321,-2.49,455.6592782994774,-1.2236419408544847
67,67,322,-2.49,462.1253409901532,-1.2178730371479567
68,68,323,-2.49,469.1417501917649,-1.2077777145115398
69,69,324,-2.3,477.1394116040563,-1.2043231023876722
70,70,325,-1.53,485.0054322594382,-1.166652834194064
71,71,326,-1.53,492.307138685221,-1.0438388623455097
72,72,327,-1.53,499.0485083705324,-0.9257932526632296
73,73,328,-2.3,505.779887826308,-0.8081895862173383
74,74,329,-2.11,512.104761473775,-0.7786371992131542
75,75,330,-2.49,518.5590661619697,-0.7333493206002473
76,76,331,-1.72,524.4548018826382,-0.7327907222963894
77,77,332,-0.77,530.4968555004513,-0.6456811391611872
78,78,333,-0.96,536.8142161128995,-0.4462948500502435
79,79,334,-1.72,543.5429439092568,-0.2687498063902005
80,80,335,-2.11,550.285197481041,-0.1706846557793042
81,81,336,-2.11,557.3098291392428,-0.1201864717637342
82,82,337,-2.68,563.9039970409372,-0.0687113878414109
83,83,338,-1.92,571.4820688127294,-0.0838183916457921
84,84,339,-1.34,579.4861849086655,0.0
